# Cosmological Table
# w0=-1.0, wa=0.0
# H0=72.0, Omega_m=0.26, Omega_l=0.74, Omega_k=0
# Columns: t, tau0, tau1, a
1.5757465457452557e-08,1.5757465601502213e-08,1.575746562540911e-08,0.9999999942425345
1.578906261337258e-08,1.578906278599539e-08,1.5789062802132882e-08,0.9999999942109373
1.5820723198783374e-08,1.5820723329793526e-08,1.582072335477821e-08,0.9999999941792768
1.5852447118165343e-08,1.58524473599459e-08,1.58524473248474e-08,0.9999999941475528
1.5884234810107347e-08,1.588423500375664e-08,1.5884235026682134e-08,0.9999999941157651
1.59160862147809e-08,1.5916086388785138e-08,1.591608643735379e-08,0.9999999940839137
1.59480015175868e-08,1.5948001642846542e-08,1.594800165048812e-08,0.9999999940519985
1.597998062518314e-08,1.597998089401235e-08,1.597998082207889e-08,0.9999999940200193
1.6012024040064555e-08,1.601202427061077e-08,1.60120241781139e-08,0.9999999939879759
1.6044131684429187e-08,1.604413190122743e-08,1.604413184613392e-08,0.9999999939558682
1.6076303753833067e-08,1.607630391470577e-08,1.6076303933705026e-08,0.9999999939236962
1.610854029675762e-08,1.6108540440147583e-08,1.61085404202176e-08,0.9999999938914597
1.6140841456077516e-08,1.6140841606913587e-08,1.614084164759419e-08,0.9999999938591585
1.6173207330787103e-08,1.6173207544623787e-08,1.617320752632003e-08,0.9999999938267926
1.620563817003068e-08,1.6205638383158203e-08,1.6205638337548575e-08,0.9999999937943618
1.6238134088279484e-08,1.6238134252657265e-08,1.6238134245168958e-08,0.9999999937618659
1.6270695144990182e-08,1.627069528352236e-08,1.6270695327889262e-08,0.9999999937293048
1.6303321441444737e-08,1.6303321606416364e-08,1.6303321671206053e-08,0.9999999936966785
1.633601319225155e-08,1.6336013352264184e-08,1.6336013412025098e-08,0.9999999936639867
1.6368770401005367e-08,1.636877065225317e-08,1.6368770578437687e-08,0.9999999936312295
1.6401593393941616e-08,1.6401593637833825e-08,1.640159355271406e-08,0.9999999935984065
1.6434482242352066e-08,1.6434482440720207e-08,1.643448241782572e-08,0.9999999935655177
1.6467436990868682e-08,1.6467437192890497e-08,1.6467437137591176e-08,0.999999993532563
1.6500457893199395e-08,1.650045802658754e-08,1.6500458048931164e-08,0.999999993499542
1.653354486704007e-08,1.6533545074319275e-08,1.653354504035935e-08,0.9999999934664551
1.6566698244843034e-08,1.656669846885943e-08,1.6566698392081296e-08,0.9999999934333017
1.6599918083076115e-08,1.6599918343247956e-08,1.659991830111567e-08,0.9999999934000818
1.663320464938463e-08,1.6633204830791567e-08,1.6633204824495806e-08,0.9999999933667952
1.6666557920496228e-08,1.6666558065064327e-08,1.666655810451145e-08,0.999999993333442
1.6699977939005747e-08,1.6699978179908045e-08,1.6699978104704552e-08,0.999999993300022
1.673346520415946e-08,1.6733465309433005e-08,1.6733465319214012e-08,0.9999999932665348
1.676701940262499e-08,1.6767019588018385e-08,1.6767019588729965e-08,0.9999999932329805
1.6800640961058217e-08,1.6800641150312823e-08,1.680064112383351e-08,0.999999993199359
1.6834329904691535e-08,1.6834330131234987e-08,1.683433010288206e-08,0.99999999316567
1.6868086512440994e-08,1.6868086665973987e-08,1.6868086674765216e-08,0.9999999931319135
1.6901910799222066e-08,1.6901910889990116e-08,1.6901910935481672e-08,0.9999999930980892
1.693580276030321e-08,1.693580293901527e-08,1.693580296139093e-08,0.9999999930641972
1.6969762789577405e-08,1.6969762949053506e-08,1.696976300079774e-08,0.9999999930302371
1.700379083570748e-08,1.700379105638164e-08,1.7003790981888835e-08,0.9999999929962091
1.703788725538943e-08,1.7037887397549647e-08,1.703788736399129e-08,0.9999999929621127
1.707205188819838e-08,1.707205210938142e-08,1.7072052027423587e-08,0.9999999929279481
1.7106285165418688e-08,1.7106285328975175e-08,1.7106285311503873e-08,0.9999999928937148
1.7140587111476512e-08,1.7140587193704046e-08,1.7140587274996044e-08,0.9999999928594129
1.717495770945809e-08,1.7174957841216666e-08,1.7174957837308042e-08,0.9999999928250423
1.720939720986827e-08,1.7209397409437568e-08,1.7209397393915762e-08,0.9999999927906027
1.724390589047233e-08,1.7243906036567973e-08,1.7243906048352583e-08,0.9999999927560941
1.7278483655750332e-08,1.7278483861086183e-08,1.7278483851095257e-08,0.9999999927215163
1.7313130816113425e-08,1.7313131021748183e-08,1.7313131027695012e-08,0.9999999926868691
1.7347847541061547e-08,1.7347847657588184e-08,1.73478477010765e-08,0.9999999926521524
1.7382633679303248e-08,1.7382633907919247e-08,1.738263382759751e-08,0.9999999926173663
1.7417489635260086e-08,1.741748991233366e-08,1.7417489882516888e-08,0.9999999925825103
1.7452415576171474e-08,1.7452415810703737e-08,1.7452415790782505e-08,0.9999999925475843
1.7487411501641858e-08,1.7487411743182236e-08,1.748741171168817e-08,0.9999999925125884
1.7522477645067288e-08,1.752247785020295e-08,1.752247785486265e-08,0.9999999924775222
1.7557613974561523e-08,1.7557614272481308e-08,1.755761416463951e-08,0.9999999924423859
1.759282095734917e-08,1.7592821151014794e-08,1.7592821146719712e-08,0.999999992407179
1.7628098466063288e-08,1.7628098627083732e-08,1.762809864542196e-08,0.9999999923719015
1.7663446609603273e-08,1.7663446842251708e-08,1.76634467655435e-08,0.9999999923365533
1.769886567911974e-08,1.769886593836618e-08,1.7698865882845357e-08,0.9999999923011342
1.7734355891774676e-08,1.7734356057559068e-08,1.773435610160674e-08,0.9999999922656441
1.7769917077032025e-08,1.7769917342247196e-08,1.776991726850059e-08,0.9999999922300828
1.780554969235883e-08,1.7805549935133072e-08,1.780554987231455e-08,0.9999999921944502
1.7841253846825572e-08,1.7841253979205317e-08,1.7841254002186075e-08,0.9999999921587461
1.787702942518523e-08,1.7877029617739273e-08,1.7877029609933736e-08,0.9999999921229705
1.791287685184524e-08,1.7912876994297622e-08,1.7912877062830128e-08,0.9999999920871231
1.7948795962356627e-08,1.794879625273081e-08,1.7948796182124152e-08,0.9999999920512039
1.7984787279156493e-08,1.7984787537177843e-08,1.7984787494711813e-08,0.9999999920152126
1.802085082665237e-08,1.8020850992066724e-08,1.8020850994930738e-08,0.9999999919791491
1.8056986595725597e-08,1.8056986762115055e-08,1.805698679219621e-08,0.9999999919430134
1.8093194833216726e-08,1.8093194992330684e-08,1.8093195053206177e-08,0.9999999919068051
1.8129475618401218e-08,1.8129475828012103e-08,1.8129475789221505e-08,0.9999999918705244
1.8165829191979144e-08,1.8165829414749283e-08,1.8165829375025433e-08,0.9999999918341708
1.8202255720211907e-08,1.820225589842409e-08,1.8202255910337644e-08,0.9999999917977442
1.8238755169712183e-08,1.8238755425210917e-08,1.8238755321317187e-08,0.9999999917612448
1.827532787541739e-08,1.8275328141577307e-08,1.8275328121856137e-08,0.999999991724672
1.8311973888296406e-08,1.8311974194284398e-08,1.831197414168199e-08,0.999999991688026
1.8348693582156023e-08,1.8348693730387715e-08,1.8348693772089602e-08,0.9999999916513064
1.838548670475932e-08,1.838548689723763e-08,1.8385486921078756e-08,0.9999999916145133
1.8422353633014073e-08,1.8422353842479987e-08,1.842235388775167e-08,0.9999999915776463
1.8459294510222443e-08,1.8459294714056733e-08,1.8459294758855518e-08,0.9999999915407054
1.8496309456092363e-08,1.8496309660206346e-08,1.8496309708527508e-08,0.9999999915036905
